iter	RMSE
213	3757.854557
214	3753.614038
215	3751.664665
216	3748.850853
217	3747.414303
218	3745.629778
219	3744.733398
220	3740.338778
221	3737.109429
222	3736.857152
223	3734.551564
224	3733.245671
225	3732.049625
226	3729.818235
227	3729.468968
228	3725.981124
229	3724.973625
230	3723.791006
231	3719.818094
232	3718.026808
233	3715.390712
234	3711.873391
235	3708.04175
236	3705.183336
237	3704.147721
238	3701.029595
239	3700.127716
240	3696.94082
241	3694.77476
242	3690.656277
243	3688.940574
244	3687.308587
245	3684.08617
246	3682.191695
247	3679.013294
248	3678.084336
249	3676.711032
250	3675.607853
251	3674.980094
252	3671.700925
253	3670.193337
254	3666.615816
255	3664.027463
256	3663.319919
257	3661.638111
258	3660.104919
259	3659.083006
260	3656.73765
261	3650.882149
262	3649.010915
263	3647.791684
264	3644.95146
265	3643.53004
266	3640.932935
267	3639.517059
268	3638.631266
269	3635.912381
270	3634.956112
271	3632.596038
272	3629.633582
273	3627.213325
274	3626.092366
275	3624.878293
276	3623.042512
277	3621.965798
278	3620.810782
279	3618.08061
280	3614.577371
281	3613.534216
282	3612.300008
283	3610.400544
284	3609.275969
285	3605.575539
286	3604.875851
287	3603.670622
288	3602.440089
289	3601.715469
290	3598.425115
291	3594.825333
292	3588.880684
293	3588.319189
294	3585.161127
295	3582.646438
296	3578.313085
297	3577.868618
298	3576.993512
299	3573.070063
300	3571.516976
301	3565.351778
302	3562.845553
303	3559.619845
304	3558.367835
305	3557.757134
306	3557.08606
307	3551.703468
308	3549.916545
309	3549.503885
310	3548.921041
311	3547.851563
312	3546.10647
313	3545.007579
314	3539.857474
315	3539.151884
316	3535.353016
317	3529.94477
318	3526.734767
319	3525.201743
320	3524.707401
321	3522.332623
322	3521.559472
323	3520.834994
324	3519.714073
325	3516.115897
326	3513.071926
327	3511.764169
328	3505.951509
329	3502.410537
330	3501.475427
331	3500.470147
332	3499.177964
333	3496.461418
334	3494.7259
335	3494.198423
336	3492.923726
337	3489.772617
338	3488.198676
339	3485.53593
340	3484.009447
341	3482.653761
342	3478.804105
343	3477.823931
344	3476.307166
345	3472.772594
346	3471.591163
347	3468.13497
348	3467.404937
349	3466.221869
350	3460.95537
351	3459.94083
352	3457.929699
353	3455.418126
354	3454.433015
355	3454.008173
356	3452.526252
357	3449.731873
358	3447.509694
359	3446.636546
360	3445.190979
361	3441.907414
362	3439.919013
